Date,ASPUS
2015-11-26,360795.652173913
2015-11-27,360690.2173913043
2015-11-28,360584.7826086957
2015-11-29,360479.347826087
2015-11-30,360373.9130434783
2015-12-01,360268.47826086957
2015-12-02,360163.04347826086
2015-12-03,360057.60869565216
2015-12-04,359952.17391304346
2015-12-05,359846.73913043475
2015-12-06,359741.3043478261
2015-12-07,359635.8695652174
2015-12-08,359530.4347826087
2015-12-09,359425.0
2015-12-10,359319.5652173913
2015-12-11,359214.1304347826
2015-12-12,359108.6956521739
2015-12-13,359003.26086956525
2015-12-14,358897.82608695654
2015-12-15,358792.39130434784
2015-12-16,358686.95652173914
2015-12-17,358581.52173913043
2015-12-18,358476.0869565217
2015-12-19,358370.652173913
2015-12-20,358265.2173913043
2015-12-21,358159.7826086957
2015-12-22,358054.347826087
2015-12-23,357948.9130434783
2015-12-24,357843.47826086957
2015-12-25,357738.04347826086
2015-12-26,357632.60869565216
2015-12-27,357527.17391304346
2015-12-28,357421.73913043475
2015-12-29,357316.3043478261
2015-12-30,357210.8695652174
2015-12-31,357105.4347826087
2016-01-01,357000.0
2016-01-02,357009.8901098901
2016-01-03,357019.7802197802
2016-01-04,357029.6703296703
2016-01-05,357039.56043956045
2016-01-06,357049.4505494505
2016-01-07,357059.34065934067
2016-01-08,357069.23076923075
2016-01-09,357079.1208791209
2016-01-10,357089.010989011
2016-01-11,357098.9010989011
2016-01-12,357108.7912087912
2016-01-13,357118.68131868134
2016-01-14,357128.5714285714
2016-01-15,357138.46153846156
2016-01-16,357148.35164835164
2016-01-17,357158.2417582418
2016-01-18,357168.13186813187
2016-01-19,357178.021978022
2016-01-20,357187.9120879121
2016-01-21,357197.8021978022
2016-01-22,357207.6923076923
2016-01-23,357217.5824175824
2016-01-24,357227.47252747254
2016-01-25,357237.3626373626
2016-01-26,357247.25274725276
2016-01-27,357257.14285714284
2016-01-28,357267.032967033
2016-01-29,357276.92307692306
2016-01-30,357286.8131868132
2016-01-31,357296.7032967033
2016-02-01,357306.5934065934
2016-02-02,357316.4835164835
2016-02-03,357326.37362637365
2016-02-04,357336.26373626373
2016-02-05,357346.1538461539
2016-02-06,357356.04395604396
2016-02-07,357365.93406593404
2016-02-08,357375.8241758242
2016-02-09,357385.71428571426
2016-02-10,357395.6043956044
2016-02-11,357405.4945054945
2016-02-12,357415.3846153846
2016-02-13,357425.2747252747
2016-02-14,357435.16483516485
2016-02-15,357445.05494505493
2016-02-16,357454.94505494507
2016-02-17,357464.83516483515
2016-02-18,357474.7252747253
2016-02-19,357484.6153846154
2016-02-20,357494.5054945055
2016-02-21,357504.3956043956
2016-02-22,357514.28571428574
2016-02-23,357524.1758241758
2016-02-24,357534.06593406596
2016-02-25,357543.95604395604
2016-02-26,357553.8461538461
2016-02-27,357563.73626373627
2016-02-28,357573.62637362635
2016-02-29,357583.5164835165
2016-03-01,357593.4065934066
2016-03-02,357603.2967032967
2016-03-03,357613.1868131868
2016-03-04,357623.07692307694
2016-03-05,357632.967032967
